X[m]	Nd[m^-3]	ux[m/s]	uy[m/s]	uz[m/s]	u2x[(m/s)^2]	u2y[(m/s)^2]	u2z[(m/s)^2]	Ttrx[K]	Ttry[K]	Ttrz[K]	Ttr[K]
0	1.94261e+24	-15.4197	13.2386	0.794855	96454.4	106500	101673	381.175	425.756	333.312	380.081
1.44727e-07	1.99759e+24	36.258	-60.2936	-11.7908	105193	104267	115284	419.865	365.824	375.067	386.919
2.89454e-07	2.16253e+24	-42.0096	8.69564	-27.8049	111307	90217.7	113532	364.274	370.15	445.261	393.228
4.3418e-07	1.83266e+24	13.4586	28.5939	28.8356	99411.8	94289.1	95242.9	352.928	358.544	366.007	359.16
5.78907e-07	2.08923e+24	-3.14985	24.3769	-17.243	108167	103108	109424	399.408	417.164	388.609	401.727
7.23634e-07	2.39162e+24	16.4187	-22.9751	-31.3409	121096	92099.7	88477.4	473.404	337.299	350.57	387.091
8.68361e-07	2.29998e+24	39.149	-20.9596	-4.48332	117270	105572	113735	426.857	352.359	411.776	396.997
1.01309e-06	2.20835e+24	-47.5054	15.0406	19.6119	117681	107477	99110	431.565	429.293	401.343	420.734
1.15781e-06	2.14421e+24	-39.6459	-37.5406	-37.725	119412	98384.8	98271.2	430.363	359.323	371.757	387.148
1.30254e-06	2.3458e+24	4.04096	-4.20596	-9.88323	101368	104534	112170	371.977	403.184	383.035	386.065
1.44727e-06	2.25417e+24	29.3554	-21.5053	4.99481	98407.1	98666.3	89105.7	391.887	347.095	334.012	357.665
1.59199e-06	2.21751e+24	33.664	7.31509	-9.29059	104810	108282	80501.7	413.167	425.731	304.204	381.034
1.73672e-06	2.28166e+24	-25.9472	-4.31905	29.1197	93596.7	107306	108941	351.277	364.191	428.252	381.24
1.88145e-06	2.04341e+24	4.49098	-3.97807	32.7825	98658.5	89359.9	89187.8	336.983	298.52	341.651	325.718
2.02617e-06	2.08006e+24	-16.9117	-19.9165	-38.7786	73946	124602	113635	270.933	445.505	406.405	374.281
2.1709e-06	2.19002e+24	9.6905	14.43	8.17136	102869	110398	84295.4	389.767	398.323	321.831	369.974
2.31563e-06	2.02508e+24	-11.4161	36.1569	9.14123	103992	93355.6	112151	366.295	362.454	400.033	376.261
2.46036e-06	2.01592e+24	-6.79861	-10.7886	-4.35419	92615.2	96161.1	101523	376.845	356.135	390.706	374.562
2.60508e-06	2.27249e+24	-43.6358	-0.195819	3.47994	94398.7	85808.7	99630	365.604	319.87	358.871	348.115
2.74981e-06	2.15337e+24	4.21551	-20.5987	-33.056	113329	98446.2	115051	460.03	363.216	422.433	415.226
2.89454e-06	1.94261e+24	51.7973	42.4379	4.05736	95044	101956	106856	300.263	331.194	318.704	316.72
3.03926e-06	2.43743e+24	26.2021	-2.38212	-20.5333	94420	104069	105852	391.647	388.549	409.435	396.544
3.18399e-06	1.98843e+24	4.67028	-15.1417	14.3796	111704	110694	93810.1	367.212	455.243	350.923	391.126
3.32872e-06	2.23584e+24	10.6281	25.6348	-56.6473	87818.9	105984	96177.7	310.947	354.916	364.298	343.387
3.47344e-06	2.29998e+24	34.9563	-11.82	-54.6301	118548	92404.1	101311	470.507	386.147	359.419	405.358
3.61817e-06	2.0709e+24	1.5555	17.8796	-8.6651	103729	99478.9	96513.5	386.14	388.229	335.613	369.994
3.7629e-06	2.245e+24	1.26442	4.46747	3.40423	102859	104234	122024	438.718	395.635	514.599	449.651
3.90762e-06	2.40994e+24	-12.1651	12.631	3.13149	105472	110463	104434	424.477	424.648	430.395	426.506
4.05235e-06	2.19002e+24	-68.4548	-15.7566	14.9684	124296	100892	102989	429.495	396.246	404.668	410.136
4.19708e-06	1.97927e+24	-41.1836	-12.8088	21.9014	86342	98737.7	99552.1	281.596	365.652	396.559	347.936
4.3418e-06	2.38245e+24	-18.2028	31.5167	-19.4323	100264	88022.2	96292.3	386.616	349.63	387.899	374.715
4.48653e-06	2.01592e+24	5.34701	-1.37069	8.43452	116027	96418.2	104081	393.398	407.598	374.23	391.742
4.63126e-06	2.35496e+24	10.4173	-26.4541	32.4792	124226	93708.1	111548	477.617	350.973	415.803	414.798
4.77598e-06	2.40994e+24	-1.38669	-45.3839	-6.20002	110331	95483.4	122357	424.945	370.805	522.428	439.393
4.92071e-06	2.19002e+24	26.1505	0.680468	7.81868	100973	91404.4	107778	370.315	364.148	394.964	376.476
5.06544e-06	2.09839e+24	-8.91163	-74.2071	19.136	104400	119053	97194.7	367.04	416.365	374.163	385.856
5.21016e-06	2.3458e+24	-27.2053	-22.6225	-19.8745	96495.7	87068.8	85875.1	384.502	315.071	354.464	351.346
5.35489e-06	2.19919e+24	22.3961	-32.1274	-25.5035	87273.6	94615.5	106255	365.973	344.65	394.761	368.461
5.49962e-06	2.42827e+24	-15.3694	-13.8973	10.9597	109819	122006	100370	447.743	493.512	395.833	445.696
5.64434e-06	2.5199e+24	-4.70581	-29.8717	23.9034	108522	87513	96048.8	423.981	356.909	411.674	397.522
5.78907e-06	2.3458e+24	-11.7867	-19.2504	-5.96725	102539	111660	93112.9	384.218	434.651	347.472	388.78
5.9338e-06	2.21751e+24	-1.3959	-16.8883	26.6731	104204	97283.1	110440	410.912	401.135	448.627	420.225
6.07852e-06	2.47409e+24	29.8302	40.4218	52.4999	91537.8	115257	112810	327.849	380.388	311.782	340.007
6.22325e-06	2.40078e+24	-1.49961	18.1999	13.2062	109108	100108	93636.7	424.997	384.595	346.039	385.21
6.36798e-06	2.32747e+24	-14.0091	21.1362	-2.64901	105454	110816	91399	412.244	419.293	345.497	392.345
6.5127e-06	2.27249e+24	2.163	-25.8961	-14.8765	91067.6	84275.3	95168.3	332.438	326.485	358.07	338.998
6.65743e-06	2.04341e+24	46.8796	9.26046	-20.8639	114412	109663	95177.6	474.444	356.406	364.042	398.297
6.80216e-06	2.13504e+24	9.34677	25.9024	-13.2328	85999.8	86358.4	99948.6	344.302	319.546	387.631	350.493
6.94689e-06	2.28166e+24	5.03416	-2.46386	21.2563	79802.1	107500	114461	307.172	360.038	389.261	352.157
7.09161e-06	2.20835e+24	-9.78148	-4.39165	-17.5979	98761.2	96309.9	91745.9	393.29	283.582	303.965	326.946
7.23634e-06	2.19919e+24	5.14494	23.1594	13.897	91811.4	102282	106799	355.804	382.211	366.529	368.181
7.38107e-06	2.29998e+24	22.0265	10.4568	7.75632	101073	116502	82462.1	383.157	422.482	320.599	375.413
7.52579e-06	2.30915e+24	-43.7801	-28.3198	2.82102	99489.2	109307	106516	392.257	400.734	450.475	414.489
7.67052e-06	2.28166e+24	35.9492	55.6906	-10.032	100367	88186	98520.5	383.168	298.951	397.494	359.871
7.81525e-06	2.22668e+24	-1.09362	41.0145	-28.7762	101398	108041	105410	362.482	432.941	396.27	397.231
7.95997e-06	2.11672e+24	11.4813	-24.0777	-9.8458	123195	103447	118521	388.24	369.736	472.825	410.267
8.1047e-06	2.09839e+24	1.73418	-11.3887	35.694	89804.8	102376	132239	377.379	367.133	384.477	376.33
8.24943e-06	2.40994e+24	6.69874	-12.9146	14.1229	87842.8	95993.5	109968	348.611	390.009	431.47	390.03
8.39415e-06	2.23584e+24	-14.4602	-36.2667	18.823	93151.2	113169	82806.3	391.99	425.637	318.054	378.561
8.53888e-06	2.27249e+24	-8.80537	-10.8672	-21.2665	118091	95664.5	108850	484.327	369.989	425.119	426.478
8.68361e-06	1.94261e+24	9.15627	-25.297	48.2243	100790	121111	118530	363.168	378.842	459.921	400.644
8.82833e-06	2.65735e+24	18.643	18.1528	-59.4876	102971	78793.7	99431.1	399.401	305.979	358.442	354.608
8.97306e-06	2.29998e+24	21.4734	-28.0713	-19.3302	92434.8	87027.5	92392.8	382.31	342.898	376.609	367.272
9.11779e-06	2.31831e+24	-8.67955	-5.2714	-34.0487	96517.9	82403.5	100859	368.499	316.203	364.466	349.723
9.26251e-06	2.54739e+24	-36.2515	0.686426	20.0983	83861.4	75328.4	93703.9	338.57	296.613	384.408	339.863
9.40724e-06	2.19919e+24	-23.3088	-17.4588	9.0403	91108.5	87419.7	93000.5	326.434	336.408	359.938	340.926
9.55197e-06	2.50157e+24	4.8529	17.2627	13.8515	114002	99445.2	91938.5	481.846	388.807	364.912	411.855
9.69669e-06	1.9701e+24	-14.5945	-20.3812	-19.3924	101288	90384.7	82122.9	372.366	258.353	273.788	301.502
9.84142e-06	2.13504e+24	2.26326	-28.4136	19.6529	85346.3	101401	103019	334.458	390.527	412.605	379.197
9.98615e-06	2.15337e+24	23.5686	36.8953	12.6161	95376.7	87631.7	78335.4	367.176	328.419	296.134	330.576
1.01309e-05	2.02508e+24	-2.49655	-22.0512	-22.9538	103213	93623.4	106163	412.605	357.886	402.811	391.101
1.02756e-05	2.26333e+24	42.2933	24.8795	-38.0711	87256.7	95469.4	94962.6	322.137	375.514	409.726	369.126
1.04203e-05	2.28166e+24	35.8195	-45.6394	-9.79432	85452.7	86680.8	98415.4	318.783	355.925	402.497	359.068
1.05651e-05	2.26333e+24	-1.89164	-28.0544	-29.1141	107993	109676	104478	408.514	388.794	349.34	382.216
1.07098e-05	2.43743e+24	-10.4659	16.9452	6.81893	98902.3	92643.8	92333.1	426.713	371.35	355.173	384.412
1.08545e-05	2.40078e+24	-25.1952	-21.323	-12.3642	91621.6	95756.7	90865.6	377.77	378.087	375.104	376.987
1.09992e-05	2.19002e+24	13.513	-8.43099	-60.8207	85427.6	90393.5	101869	328.387	329.98	345.75	334.706
1.1144e-05	2.18086e+24	18.4506	16.5373	-17.8364	98565.1	83461.7	97315.1	397.004	300.552	308.298	335.284
1.12887e-05	2.26333e+24	-63.7864	0.0230453	2.54071	119822	92240.4	90997.2	345.561	315.527	341.238	334.109
1.14334e-05	2.47409e+24	14.4107	49.0298	-11.8837	76917	98688.8	101348	299.956	364.966	370.78	345.234
1.15781e-05	2.46492e+24	-9.29884	1.61692	25.5618	112669	74203.8	110388	433.708	266.814	442.671	381.065
1.17229e-05	1.96094e+24	-24.5206	-45.1606	-37.7337	108396	99301.8	97089.2	308.853	327.628	371.478	335.987
1.18676e-05	2.0709e+24	3.96798	20.5664	2.93584	90793	107505	92523.7	385.326	379.498	394.729	386.518
1.20123e-05	2.27249e+24	-27.7691	43.6677	-3.0097	101910	99755.4	104475	411.166	395.918	390.233	399.105
1.2157e-05	2.245e+24	-11.6348	0.986717	-0.952983	109962	82844.4	110657	388.906	312.225	397.528	366.219
1.23018e-05	2.08923e+24	15.3042	-35.0448	0.704218	81323.2	111043	102692	318.438	419.705	357.657	365.267
1.24465e-05	2.37329e+24	-22.4269	-20.87	21.8959	94150.2	99517.8	96451.8	330.081	401.926	393.324	375.11
1.25912e-05	2.12588e+24	12.0761	21.5207	-80.5615	89083	96294	104429	367.225	366.828	402.222	378.758
1.2736e-05	2.21751e+24	10.9956	19.5553	4.34643	85029.3	86496.2	79524.6	357.469	332.947	295.167	328.527
1.28807e-05	2.28166e+24	-24.2332	42.1769	31.5179	111291	102095	99652.7	460.692	392.5	387.206	413.466
1.30254e-05	2.245e+24	-20.1614	-6.43984	25.2431	129439	98644	90233.7	481.251	359.241	353.179	397.89
1.31701e-05	2.29082e+24	31.3227	-22.2257	3.90222	114794	84366.5	106789	414.743	333.425	432.143	393.437
1.33149e-05	2.39162e+24	7.10151	13.8454	49.7594	107497	84430.7	104058	390.552	337.746	337.968	355.422
1.34596e-05	2.65735e+24	-20.6842	-9.97137	7.30644	84851.8	104968	85887.6	334.014	414.023	357.919	368.652
1.36043e-05	2.27249e+24	3.81432	19.8563	-19.4486	89382	99149.8	109911	360.269	394.745	438.714	397.909
1.3749e-05	2.27249e+24	-0.177066	11.4173	14.3102	87250.2	95815.3	85971.4	337.19	389.633	353.717	360.18
1.38938e-05	2.18086e+24	24.2303	-25.2454	-2.52726	114457	102228	84079.5	439.909	387.282	307.484	378.225
1.40385e-05	2.27249e+24	-13.4813	19.1092	-12.1497	92242.4	91846.2	85060.7	366.274	343.89	320.022	343.395
1.41832e-05	2.39162e+24	3.21512	24.6733	7.52198	96231.9	89560.7	84615.8	362.754	356.9	364.117	361.257
1.4328e-05	2.31831e+24	-21.4824	-0.226341	-18.1861	85951.1	96433.6	81511.4	348.853	397.632	308.047	351.511
1.44727e-05	2.27249e+24	-20.4644	27.379	24.1365	94230	111385	99036.2	380.623	434.565	373.781	396.323
1.46174e-05	2.29082e+24	-9.17762	-15.8888	-4.44357	85873.9	92352	103753	346.485	330.699	400.299	359.161
1.47621e-05	2.48325e+24	-26.0094	-1.37755	1.83389	126001	83271.7	98937.9	415.29	349.458	383.181	382.643
